"fct_min","group"
0.92,"CSA-M"
1,"CSA-M"
0.93,"CSA-M"
0.93,"CSA-M"
0.9,"CSA-M"
0.97,"CSA-M"
0.92,"CSA-M"
0.9,"CSA-M"
0.88,"CSA-M"
0.9,"CSA-M"
0.99,"CSA-M"
0.86,"CSA-M"
0.99,"CSA-M"
1.01,"CSA-M"
0.99,"CSA-M"
0.94,"CSA-M"
0.97,"CSA-M"
1.01,"CSA-M"
0.92,"CSA-M"
1.01,"CSA-M"
0.91,"CSA-M"
0.89,"CSA-M"
1,"CSA-M"
1.01,"CSA-M"
0.95,"CSA-M"
0.91,"CSA-M"
0.97,"CSA-M"
0.98,"CSA-M"
1.01,"CSA-M"
0.9,"CSA-M"
1.01,"CSA-M"
1.01,"CSA-M"
0.98,"CSA-M"
0.99,"CSA-M"
0.92,"CSA-M"
0.98,"CSA-M"
0.95,"CSA-M"
0.87,"CSA-M"
0.99,"CSA-M"
0.92,"CSA-M"
1.01,"CSA-M"
0.86,"CSA-M"
0.96,"CSA-M"
0.99,"CSA-M"
0.81,"CSA-M"
0.93,"CSA-M"
0.89,"CSA-M"
0.92,"CSA-M"
0.92,"CSA-M"
1,"CSA-M"
0.93,"CSA-Q"
0.97,"CSA-Q"
0.96,"CSA-Q"
0.92,"CSA-Q"
0.97,"CSA-Q"
1.01,"CSA-Q"
0.89,"CSA-Q"
0.99,"CSA-Q"
0.89,"CSA-Q"
0.93,"CSA-Q"
0.94,"CSA-Q"
1.01,"CSA-Q"
0.93,"CSA-Q"
0.98,"CSA-Q"
0.88,"CSA-Q"
0.94,"CSA-Q"
1,"CSA-Q"
0.97,"CSA-Q"
0.88,"CSA-Q"
0.95,"CSA-Q"
0.91,"CSA-Q"
0.93,"CSA-Q"
0.93,"CSA-Q"
0.91,"CSA-Q"
0.88,"CSA-Q"
0.93,"CSA-Q"
0.97,"CSA-Q"
1.01,"CSA-Q"
0.99,"CSA-Q"
1,"CSA-Q"
0.98,"CSA-Q"
0.89,"CSA-Q"
1,"CSA-Q"
0.9,"CSA-Q"
0.83,"CSA-Q"
0.9,"CSA-Q"
1,"CSA-Q"
0.93,"CSA-Q"
0.98,"CSA-Q"
1,"CSA-Q"
1,"CSA-Q"
1.01,"CSA-Q"
0.96,"CSA-Q"
1.01,"CSA-Q"
0.99,"CSA-Q"
0.94,"CSA-Q"
0.83,"CSA-Q"
1.01,"CSA-Q"
0.98,"CSA-Q"
1.01,"CSA-Q"
